Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^tɕʰ	tɕʰ	tɕʰi⁵, tɕʰy⁵	Nanchang, Jiangshan, Heping, Jianchuan, Beijing, Suzhou	17	U+005e U+0074 U+0255 U+02b0
^tʂ	ʈʂ	tʂu², tʂuŋ³	Beijing	2	U+005e U+0074 U+0282
^tʂʰ	ʈʂʰ	tʂʰaŋ², tʂʰu¹	Beijing	2	U+005e U+0074 U+0282 U+02b0
^tʰ	tʰ	tʰiεn¹, tʰiaʔ⁴	Heping, Jiangshan, Guangzhou, Jianchuan, Jiangyong, Nanchang, Zhenqian, Meixian, Beijing, Suzhou	15	U+005e U+0074 U+02b0
^v	v	væʔ⁴	Heping	1	U+005e U+0076
^x	x	xuo³, xɛ̃²	Jiangshan, Jianchuan, Beijing	5	U+005e U+0078
^yi	y/ɥ i	yi³	Jiangshan	1	U+005e U+0079 U+0069
^yε	y/ɥ ε	yε⁵	Beijing	1	U+005e U+0079 U+03b5
^z	z	zɿ⁵, zɐʔ⁸	Suzhou	9	U+005e U+007a
^ŋ	ŋ	ŋua⁵, ŋou²	Jianchuan, Jiangshan, Guangzhou, Jiangyong, Zhenqian, Suzhou	9	U+005e U+014b
^ɔ	ɔ	ɔ⁴	Jiangshan	1	U+005e U+0254
^ɕ	ɕ	ɕyɤʔ⁷, ɕiou³	Jiangyong, Beijing, Heping, Nanchang, Jianchuan, Suzhou	20	U+005e U+0255
^ə	ə	ər⁵, ə⁶	Beijing, Nanchang	2	U+005e U+0259
^ɣ	ɣ	ɣɯ⁴	Jianchuan	1	U+005e U+0263
^ɦ	ɦ	ɦo⁶	Suzhou	1	U+005e U+0266
^ɲ	ɲ	ɲyat⁸, ɲy⁶	Meixian, Nanchang, Jiangyong	3	U+005e U+0272
^ʂ	ʂ	ʂʅ², ʂui³	Beijing	7	U+005e U+0282
_	NULL	tsɯə ⁶, tεn ³	Nanchang, Jiangyong	3	U+005f
a	a	sam¹, san¹	Meixian, Jiangshan, Jiangyong, Nanchang, Zhenqian, Beijing, Guangzhou, Heping, Common_Chinese, Suzhou	45	U+0061
ai	ai	pʰai⁵, lai²	Beijing, Jiangshan, Heping, Jiangyong, Nanchang, Zhenqian	7	U+0061 U+0069
au	au	tsau³, tauŋ⁹	Jiangyong, Nanchang, Zhenqian, Meixian, Beijing	5	U+0061 U+0075
b	b	*bi², *biaŋ⁶	Common_Chinese	3	U+0062
c	ʈʂ	*ciuk⁷	Common_Chinese	1	U+0063
ch	ʈʂʰ	*chiut⁷	Common_Chinese	1	U+0063 U+0068
d	d	*dzi⁶, *dzuo⁴	Common_Chinese	2	U+0064
e	e	le², pe⁸	Jianchuan, Suzhou, Heping, Common_Chinese, Zhenqian	10	U+0065
ei	ei	pʰei², sei⁵	Guangzhou, Jiangshan, Heping	4	U+0065 U+0069
eu	eu	teuŋ³	Zhenqian	1	U+0065 U+0075
g	g	*gin⁴, *giou⁶	Common_Chinese	2	U+0067
i	i	tɕi¹, si⁵	Common_Chinese, Heping, Zhenqian, Meixian, Beijing, Suzhou, Jiangshan, Nanchang, Guangzhou, Jianchuan, Jiangyong	52	U+0069
ia	i/j a	tɕiaŋ⁴, hiat⁷	Common_Chinese, Jiangyong, Nanchang, Meixian, Beijing, Jiangshan, Heping	15	U+0069 U+0061
iai	i/j ai	*kiai¹	Common_Chinese	1	U+0069 U+0061 U+0069
iau	i/j au	siau⁵, *siau⁸	Jiangshan, Common_Chinese, Meixian, Beijing	5	U+0069 U+0061 U+0075
ie	i/j e	*khie⁵, tɕie⁴	Jiangyong, Common_Chinese	3	U+0069 U+0065
ieu	i/j eu	sieu⁵	Heping	1	U+0069 U+0065 U+0075
io	i/j o	sio⁵, ɕioʔ⁴	Common_Chinese, Zhenqian, Heping, Jiangyong	10	U+0069 U+006f
iou	i/j ou	liou², tɕiou⁶	Common_Chinese, Jiangyong	8	U+0069 U+006f U+0075
iu	i/j u	liu², niu²	Zhenqian, Meixian, Common_Chinese, Nanchang, Beijing, Jiangshan, Guangzhou, Heping, Jiangyong	21	U+0069 U+0075
iæ	i/j æ	siæ⁵	Suzhou	1	U+0069 U+00e6
iɪ	iɪ	ziɪʔ⁸, tɕʰiɪʔ⁷	Suzhou	3	U+0069 U+026a
iʏ	i/j ʏ	dʑiʏ⁶	Suzhou	1	U+0069 U+028f
iε	i/j ε	tʰiεn¹, siεʔ⁸	Jiangshan, Beijing, Nanchang, Meixian	9	U+0069 U+03b5
iεu	i/j εu	ɕiεu⁵	Nanchang	1	U+0069 U+03b5 U+0075
j	j	*jioŋ², *jiuŋ⁴	Common_Chinese	2	U+006a
ji	j
k	k	tsuk⁷, pʰak⁸	Common_Chinese, Guangzhou, Nanchang, Meixian	18	U+006b
kh	kʰ	*khie⁵	Common_Chinese	1	U+006b U+0068
l	l	*loi², *liou²	Common_Chinese	2	U+006c
m	m	sam¹, *sam¹	Heping, Common_Chinese, Meixian, Guangzhou	10	U+006d
n	n	tʰiεn¹, kon¹	Nanchang, Beijing, Heping, Meixian, Guangzhou, Common_Chinese, Jiangshan, Suzhou	37	U+006e
nh	ɳ	*nhi⁶	Common_Chinese	1	U+006e U+0068
n̍	n̩	hn̍ʔ⁴	Heping	1	U+006e U+030d
o	o	pʰo⁵, kon¹	Nanchang, Meixian, Heping, Guangzhou, Jianchuan, Zhenqian, Common_Chinese, Suzhou, Jiangyong	37	U+006f
oi	oi	*loi², loi²	Common_Chinese, Meixian, Heping	3	U+006f U+0069
ou	ou	ŋou², tsou³	Common_Chinese, Beijing, Guangzhou, Jiangyong	4	U+006f U+0075
p	p	kap⁷, *zhip⁸	Common_Chinese, Meixian, Guangzhou	7	U+0070
ph	pʰ	*pho⁵	Common_Chinese	1	U+0070 U+0068
r	r	ər⁵	Beijing	1	U+0072
t	t	tsʰɔt⁷, *ŋiot⁸	Nanchang, Common_Chinese, Meixian, Guangzhou	20	U+0074
th	tʰ	*thian¹	Common_Chinese	1	U+0074 U+0068
ts	ts	*tsou³	Common_Chinese	1	U+0074 U+0073
